Matricule,First_Name,Last_Name,Email,Anonymat_name,Password,Gender,Age,Department,Level,Attendance ,Projects_Score,notecc,SN,Moyenne_Final,Sleep_hour,Stress_Level (1-10), decision, Annee
S1000,Omar,Williams,student0@university.com,Stud 1,1234,Female,22,GIT,Master's,9.736,6.284000000000001,20.026,25.055,10.545,1.7457627118644068,1, Echec   ,2020
S1001,Maria,Brown,student1@university.com,Stud 2,1234,Male,18,GM,High School,9.771,9.823,26.046000000000003,32.8175,15.691500000000003,6.302325581395349,4, Admis   ,2020
S1002,Ahmed,Jones,student2@university.com,Stud 3,1234,Male,24,GE,High School,9.952,9.122,14.054999999999998,26.4225,11.9103,2.0327868852459017,9, Echec   ,2020
S1003,Omar,Williams,student3@university.com,Stud 4,1234,Female,24,GMP,High School,9.038,5.548,13.857,22.5225,10.1931,5.204081632653061,8, Echec   ,2020
S1004,John,Smith,student4@university.com,Stud 5,1234,Female,23,GMP,Master's,5.941,8.743,21.594,28.725,13.0006,2.955555555555556,6, Admis   ,2020
S1005,Liam,Brown,student5@university.com,Stud 6,1234,Male,21,GP,Master's,6.0600000000000005,6.765000000000001,19.491,33.6725,13.1977,4.517857142857143,6, Admis   ,2020
S1006,Ahmed,Jones,student6@university.com,Stud 7,1234,Male,24,GIT,Bachelor's,6.7010000000000005,8.751000000000001,15.867,46.1475,15.4933,5.525,2, Admis   ,2020
S1007,Ahmed,Smith,student7@university.com,Stud 8,1234,Male,19,GE,Bachelor's,6.591,9.004000000000001,15.935,37.7975,13.8655,2.141025641025641,5, Admis   ,2020
S1008,Omar,Smith,student8@university.com,Stud 9,1234,Female,21,QHSEI,PhD,9.783,5.757000000000001,23.367,34.93,11.9494,3.770833333333334,9, Echec   ,2020
S1009,Sara,Smith,student9@university.com,Stud 10,1234,Female,22,GIT,PhD,8.945,8.309000000000001,21.855,45.665,16.954800000000002,1.323943661971831,8, Admis   ,2020
S1010,John,Smith,student10@university.com,Stud 11,1234,Female,23,GPR,High School,8.620000000000001,9.314,19.025,38.885000000000005,9.6675,0.9634146341463417,4, Echec   ,2020
S1011,Omar,Williams,student11@university.com,Stud 12,1234,Female,20,GCI,High School,5.93,6.617000000000001,22.755000000000003,45.31,16.122400000000003,2.6627906976744184,7, Admis   ,2020
S1012,John,Davis,student12@university.com,Stud 13,1234,Male,21,GM,High School,9.548,5.402000000000001,17.203000000000003,41.1175,14.6541,3.852941176470588,9, Admis   ,2020
S1013,John,Williams,student13@university.com,Stud 14,1234,Male,18,GM,PhD,9.139,5.136,18.375,36.09,13.748000000000005,2.911392405063291,5, Admis   ,2020
